,Date,sentiment_score,avg_sentiment,ticker,Open,High,Low,Close,Adj Close,Volume,month,day,is_quarter_end,predicted
2549,2019-07-16,0.451175,Positive,AAPL,51.147499,51.5275,50.875,51.125,49.829601,67467200.0,7,1,0,49.37186138779434
2550,2019-07-17,0.8918901639344263,Positive,AAPL,51.012501,51.272499,50.817501,50.837502,49.549389,56430000.0,7,2,0,49.37186138779434
2551,2019-07-18,0.886552380952381,Positive,AAPL,51.0,51.470001,50.924999,51.415001,50.112259,74162400.0,7,3,0,49.37186138779434
2552,2019-07-19,0.613,Positive,AAPL,51.447498,51.625,50.59,50.647499,49.364197,83717200.0,7,4,0,49.423274454178916
2555,2019-07-22,0.85232,Positive,AAPL,50.912498,51.807499,50.9025,51.805,50.492374,89111600.0,7,0,0,49.36707962575488
2556,2019-07-23,0.91975,Positive,AAPL,52.115002,52.227501,51.822498,52.209999,50.887108,73420800.0,7,1,0,49.82719578614736
2557,2019-07-24,0.480625,Positive,AAPL,51.9175,52.287498,51.7925,52.1675,50.845684,59966400.0,7,2,0,49.82719578614736
2558,2019-07-25,0.7799583333333334,Positive,AAPL,52.2225,52.310001,51.682499,51.755001,50.443645,55638400.0,7,3,0,49.82719578614736
2559,2019-07-26,0.7173111111111111,Positive,AAPL,51.869999,52.432499,51.785,51.935001,50.619083,70475600.0,7,4,0,49.85284176299156
2562,2019-07-29,0.7315833333333334,Positive,AAPL,52.115002,52.66,52.110001,52.419998,51.091789,86693600.0,7,0,0,50.31547771342162
2563,2019-07-30,0.9073191011235956,Positive,AAPL,52.189999,52.540001,51.827499,52.195,50.87249,135742800.0,7,1,0,49.8802104668205
2564,2019-07-31,0.8394205479452055,Positive,AAPL,54.105,55.342499,52.825001,53.259998,51.910507,277125600.0,7,2,0,51.854569106288764
2565,2019-08-01,0.48624,Positive,AAPL,37.389999,37.955002,37.130001,37.6875,36.435398,164101200.0,8,3,0,35.55119603309125
2566,2019-08-02,-0.05158333333333334,Negative,AAPL,42.247501,42.665001,42.105,42.602501,41.363758,95280000.0,8,4,0,40.29297895482072
2568,2019-08-04,0.9981,Positive,AAPL,49.105,50.057499,49.084999,50.025002,48.570431,103526800.0,8,6,0,46.78757134665487
2569,2019-08-05,0.32120909090909094,Positive,AAPL,50.474998,51.334999,50.4375,50.724998,49.250076,105358000.0,8,0,0,49.36707962575488
2571,2019-08-07,0.9682666666666666,Positive,AAPL,50.202499,50.349998,49.602501,50.005001,48.73798,101354400.0,8,2,0,48.333323534704185
2572,2019-08-08,0.7261,Positive,AAPL,50.049999,50.8825,49.8475,50.857498,49.568882,108038000.0,8,3,0,48.333323534704185
2575,2019-08-11,0.9942,Positive,AAPL,64.672501,65.110001,64.212502,65.035004,63.819012,69986400.0,8,6,0,53.96653249412361
2577,2019-08-13,0.7063769230769231,Positive,AAPL,50.255001,53.035,50.119999,52.2425,51.112251,188874000.0,8,1,0,49.85194451623707
2578,2019-08-14,0.70573,Positive,AAPL,50.790001,51.610001,50.647499,50.6875,49.590893,146189600.0,8,2,0,49.39708770436569
2579,2019-08-15,0.56635,Positive,AAPL,50.865002,51.285,49.9175,50.435001,49.343861,108909600.0,8,3,0,49.37186138779434
2580,2019-08-16,0.7767,Positive,AAPL,51.07,51.790001,50.959999,51.625,50.50811,110481600.0,8,4,0,49.36707962575488
2583,2019-08-19,0.7649090909090909,Positive,AAPL,52.654999,53.182499,52.5075,52.587502,51.449791,97654400.0,8,0,0,50.45669385996682
2584,2019-08-20,0.37385555555555555,Positive,AAPL,52.720001,53.337502,52.580002,52.59,51.45224,107537200.0,8,1,0,51.13612536354693
2585,2019-08-21,0.6215714285714286,Positive,AAPL,53.247501,53.412498,52.900002,53.16,52.009899,86141600.0,8,2,0,51.13612536354693
2586,2019-08-22,0.9321666666666667,Positive,AAPL,53.297501,53.610001,52.6875,53.115002,51.965878,89014800.0,8,3,0,51.13612536354693
2587,2019-08-23,-0.23271666666666666,Negative,AAPL,52.357498,53.012501,50.25,50.66,49.563992,187272000.0,8,4,0,49.94858334251723
2590,2019-08-26,0.818198076923077,Positive,AAPL,51.465,51.797501,51.264999,51.622501,50.505672,104174400.0,8,0,0,49.4613996153431
2591,2019-08-27,0.77825,Positive,AAPL,51.965,52.137501,50.8825,51.040001,49.935768,103493200.0,8,1,0,49.4494676284515
2592,2019-08-28,0.9546692307692308,Positive,AAPL,51.025002,51.43,50.830002,51.3825,50.270855,63755200.0,8,2,0,49.37186138779434
